Model,Optimal,Msf,ClpDual,ClpPrimal,ClpDualCrash,ClpPrimalIdiot,ClpEither,GlopPrimal,GlopDual,GlopDualPerturb
netlib/80bau38.mps,987224.1924,,,,278,273,115,276,,174
netlib/cre-d.mps,24454969.76,,,,433,1778,630,1008,,1795
netlib/dfl001.mps,11266396.05,,,,6741,8695,6779,6407,,7493
netlib/ken-18.mps,-52217025287,,,,3344,12711,2732,37204,,5214
netlib/osa-30.mps,2142139.873,,,,489,1549,404,3264,,4852
netlib/osa-60.mps,4044072.503,,,,1612,7743,1542,5765,,23787
netlib/pds-20.mps,23821658640,,,,2279,4262,1528,4211,,14428
netlib/qap12.mps,522.8943505,,,,44160,26290,5154,22889,,60000
netlib/stocfor3.mps,-39976.78394,,,,634,955,503,910,,814
mittelmann/cont1.mps,8.78E-03,,,,,,432157,1596756,,
mittelmann/datt256_lp.mps,256,,,,,,693157,934320,,
mittelmann/ex10.mps,1.00E+02,,,,,,75280,1155578,,
mittelmann/fome13.mps,9.01E+07,,,,,,72624,258384,,
mittelmann/neos-3025225_lp.mps,0.052574052,,,,,,902430,227078,,
mittelmann/qap15.mps,1040.994,,,,,,31108,296553,,
mittelmann/rmine15_lp.mps,-5042.483,,,,,,388960,883071,,
mittelmann/s250r10.mps,-0.172677035,,,,,,224875,13831,,
mittelmann/square41.mps,8.84E+00,,,,,,550424,2328341,,
