Model,                      Optimal,            Msf_i7, ClpDual_i7, ClpPrimal_i7, ClpDualCrash_i7, ClpPrimalIdiot_i7, ClpSharpDualCrash_i7, ClpSharpPrimalIdiot_i7, GlopPrimal_i7, GlopDual_i7, GlopDualPerturb_i7
edge-pri0-diverse5.mps,     8117442981617.25,   61608,    2802,   14122,  1332,  6402,  973,   6221,    15753,  13664,  13664
edge-pri0-maxmin0.mps,      30411123.92135,     27002,    4992,   5922,   3492,  4852,  3035,  1827,    4803,   60000,  4335
edge-pri0-maxmin1.mps,      34938681.92135,     52156,    5812,   11272,  3662,  4232,  2934,  2517,    4681,   60000,  2722
edge-pri0-maxmin2.mps,      40084357.92135,     54399,    6872,   11252,  3372,  3922,  3262,  2284,    4234,   60000,  2739
edge-pri0-maxmin3.mps,      43810399.92135,     54138,    8192,   10042,  3882,  4182,  3163,  2457,    5892,   60000,  2516
edge-pri0-maxmin4.mps,      45285235.92135,     53300,    6662,   9522,   3872,  3902,  2861,  2403,    35417,  60000,  2581
edge-pri0-mincost.mps,      8097677503708.52,   45836,    2152,   10872,  1192,  7342,  894,   5703,    14861,  13742,  13742
edge-pri0-minutil.mps,      1,                  41737,    3112,   5432,   3262,  6672,  2465,  4618,    7235,   4099,   4099
sliceperf-pri0-diverse5.mps,1771439728369.32,   42852,    2352,   5592,   1102,  6652,  870,   4282,    8102,   6733,   6733
sliceperf-pri0-maxmin0.mps, 22057396.00,        20690,    3222,   1762,   2982,  4932,  2533,  2584,    3013,   60000,  3008
sliceperf-pri0-maxmin1.mps, 30283188.00,        40737,    3732,   6882,   4072,  4772,  3779,  2784,    3711,   60000,  4587
sliceperf-pri0-maxmin2.mps, 39029992.00,        42158,    4632,   11822,  4742,  5512,  3887,  3316,    3787,   60000,  4354
sliceperf-pri0-maxmin3.mps, 45235776.00,        41377,    4872,   14542,  4872,  5262,  4261,  3497,    7196,   60000,  3301
sliceperf-pri0-maxmin4.mps, 47224764.00,        39991,    4162,   22522,  5022,  5452,  4449,  3745,    64499,  60000,  2035
sliceperf-pri0-maxmin5.mps, 47376016.00,        40162,    4442,   22012,  5732,  5832,  4630,  3831,    64717,  60000,  2142
sliceperf-pri0-mincost.mps, 1752901832735.26,   36582,    2072,   6432,   1202,  6012,  1044,  4433,    8494,   6633,   6633
sliceperf-pri3-minutil.mps, 0.99999974186616,   3252,     522,    382,    612,   4138,  456,   4846,    887,    582,    582
sonal-diverse1.mps,         1479145345115.50,   9931,     782,    1012,   732,   1692,  961,   921,     2314,   986,    986
sonal-diverse5.mps,         1486318107706.55,   9630,     782,    982,    792,   1902,  661,   939,     2300,   1053,   1053
sonal-maxmin0.mps,          17253148.884676,    4699,     1042,   862,    1152,  2042,  812,   967,     1220,   60000,  2396
sonal-maxmin1.mps,          23596118.187910,    9908,     6852,   1032,   1242,  2162,  995,   945,     1037,   60000,  2479
sonal-maxmin2.mps,          30690307.372426,    10190,    15492,  1182,   1182,  1802,  1049,  1056,    1024,   60000,  2917
sonal-maxmin3.mps,          36595382.129638,    10047,    72552,  1772,   1562,  1722,  1133,  1124,    1015,   60000,  3388
sonal-maxmin4.mps,          38443637.998598,    10262,    39112,  1492,   1372,  1742,  1086,  1248,    925,    60000,  3405
sonal-maxmin5.mps,          38950946.998598,    9966,     41392,  1642,   1622,  1822,  1267,  1270,    1792,   60000,  3538
sonal-mincost.mps,          1477889163296.33,   8908,     702,    962,    832,   1622,  579,   875,     2136,   1020,   1020
#wander-minutil1.mps,       0.6794112746391472, 60000,    9542,   3702,   7332,  1232,  4992,  3087,    622,    720,    720
#wander-primal1.mps,        -1590.63821067608,  60000,    20,     20,     22,    2,     1,     1,       7,      1,      1
#wander-primal2.mps,        -4247098.879760965, 60000,    20,     20,     32,    12,    3,     0,       1,      2,      2
